# uniform1 uniform2 gaussian1 gaussian2
  0.756246 0.993634 -0.916043 0.932748
  0.597665 0.311251 -0.307872 0.792053
  0.015679 0.031679 -0.608759 0.179520
  0.745739 0.672642 -0.482050 -0.973018
  0.836985 0.578062 -0.629898 -0.058040
  0.543583 0.033771 -1.789009 -0.119482
  0.422039 0.197941 1.940717 -0.312362
  0.976899 0.318645 -0.199006 -0.571759
  0.137174 0.604222 1.026430 0.296586
  0.396503 0.206443 0.124040 -0.485094
  0.862591 0.404663 3.007338 0.260794
  0.363419 0.731257 -0.728329 -0.136619
  0.261251 0.025982 -1.432544 0.102061
  0.225176 0.805651 0.209382 -0.391463
  0.506057 0.249560 -0.983530 -1.235285
  0.994805 0.158285 -0.693648 -1.466747
  0.282541 0.419836 -1.851967 0.521056
  0.091157 0.106093 0.453466 -0.417971
  0.770716 0.633900 0.441849 1.344141
  0.262982 0.890586 0.326640 0.930983
  0.354403 0.929803 -1.177918 -0.101950
  0.883359 0.521979 -0.705488 2.037854
  0.744104 0.283802 -1.100609 -0.328880
  0.319591 0.806874 -0.399759 -0.682012
  0.425758 0.705716 -0.282993 -2.141676
  0.240682 0.360469 -0.464313 -0.892143
  0.253889 0.617134 0.851209 -0.341198
  0.216215 0.382526 -0.285999 -0.148740
  0.679550 0.950285 1.073101 -0.642191
  0.116562 0.250694 -0.163172 0.109432
  0.890604 0.332269 -0.333962 -0.429326
  0.075072 0.691800 0.686760 0.606336
  0.163907 0.115540 1.197112 0.831999
  0.435923 0.729716 0.902046 -0.193471
  0.396258 0.569772 -1.073995 0.652546
  0.324711 0.116388 -0.610521 -0.089904
  0.272389 0.253379 -0.963829 -0.875710
  0.063695 0.587229 -0.056894 -0.452393
  0.102822 0.417732 -1.445919 1.501737
  0.241397 0.645833 1.270560 0.374391
  0.057433 0.474421 1.211022 0.718829
  0.136587 0.619457 -2.166243 -1.067290
  0.374396 0.138372 -0.161176 -0.899637
  0.503573 0.083541 0.699025 0.520694
  0.926844 0.590014 -0.439103 -0.498030
  0.277118 0.065220 1.512041 0.555692
  0.129337 0.834781 -0.294076 -0.605565
  0.257165 0.432442 0.294440 -0.953675
  0.473029 0.770046 1.393550 0.455195
  0.188307 0.289478 -0.235849 1.425833
  0.225678 0.656988 -0.748160 0.473448
  0.743704 0.386264 1.556660 -0.514854
  0.950176 0.588579 -1.715219 0.649269
  0.719408 0.090418 -0.952448 -0.937249
  0.947779 0.948646 0.501689 -0.174511
  0.438975 0.612065 -0.451360 -0.669954
  0.927763 0.001198 1.148169 -0.898482
  0.649047 0.237091 -1.387126 -1.494634
  0.960876 0.053782 -1.117832 -1.199475
  0.164310 0.059137 1.182735 1.075019
  0.159408 0.056052 0.290920 -1.962825
  0.812554 0.921183 -0.497742 -0.361010
  0.480867 0.845172 -0.565234 -0.255820
  0.674072 0.523025 0.047640 -0.905931
  0.159568 0.468361 0.693853 -0.186216
  0.039485 0.689627 -0.284228 0.259946
  0.465520 0.974823 -0.216446 -0.844942
  0.887143 0.251718 -0.683478 -1.179963
  0.630505 0.355720 -1.434049 -0.022726
  0.071471 0.248508 1.921659 2.451059
  0.029331 0.379170 0.893712 -0.153131
  0.431250 0.823665 -1.631179 -0.015690
  0.912534 0.691726 -0.333060 -0.806385
  0.661278 0.701992 0.940324 0.708724
  0.832619 0.605260 0.867314 0.731650
  0.121775 0.952430 0.896089 0.222094
  0.138620 0.914270 -1.741786 -0.041523
  0.119751 0.213739 -0.878587 -0.566662
  0.210366 0.765543 0.595331 -1.283403
  0.364957 0.330925 1.355139 1.389284
  0.326571 0.941867 -0.863923 -1.155279
  0.766792 0.639868 0.292435 -0.120697
  0.713296 0.948365 1.140981 0.075490
  0.349171 0.559668 0.003485 -0.372576
  0.288972 0.338267 -1.225105 -0.931455
  0.842633 0.115555 -1.059826 1.607538
  0.354301 0.181776 0.067094 -0.116654
  0.747006 0.597504 -1.130756 -0.115033
  0.830146 0.983626 -0.239599 0.443917
  0.555352 0.992661 0.682514 0.000192
  0.068241 0.120933 0.959578 -0.237160
  0.367739 0.817065 0.838653 -0.659006
  0.626214 0.795251 -0.812739 0.492684
  0.349212 0.154308 -0.007414 0.404830
  0.821508 0.266105 -0.298441 -0.515414
  0.196291 0.638166 -0.463065 -0.587304
  0.660786 0.000856 -1.164266 -0.272361
  0.561335 0.227253 0.362009 -1.360420
  0.601519 0.533800 -1.789839 -0.283477
  0.715588 0.571738 -1.237218 2.651733
  0.720964 0.176010 -0.522065 0.653440
  0.905724 0.635207 0.472039 0.115912
  0.187425 0.668289 1.879455 1.027367
  0.443580 0.067071 -0.187350 1.159719
  0.139194 0.551068 0.155645 -1.112468
  0.097931 0.172191 -0.510235 0.602195
  0.942314 0.410349 0.483909 0.418612
  0.846246 0.753026 -0.745237 -0.376461
  0.117780 0.023223 0.166581 -2.389308
  0.789660 0.383701 -0.605246 -0.984055
  0.556460 0.857802 -0.345197 -0.126510
  0.515150 0.621466 0.660354 -0.733270
  0.765782 0.302240 2.275552 0.307121
  0.404142 0.812689 0.193148 -0.127368
  0.093534 0.897380 0.225538 -0.374024
  0.024897 0.207650 0.266733 -0.754225
  0.535314 0.356753 -0.234504 0.314957
  0.848199 0.071632 0.814833 -0.946441
  0.528041 0.292977 1.511111 -1.241743
  0.576809 0.749406 -1.007054 -1.443506
  0.261358 0.531177 1.417596 -0.440886
  0.350718 0.615397 0.934202 0.797319
  0.259327 0.899640 -0.557748 -0.747578
  0.913895 0.206065 1.011479 -0.280899
  0.489409 0.248391 -0.475464 0.120415
  0.065167 0.715769 -0.862874 -0.727495
  0.951077 0.881190 0.941774 0.934215
  0.993889 0.756835 0.003441 -0.251622
  0.424708 0.741079 0.128491 0.528826
  0.175606 0.302851 -1.900654 -0.246274
  0.459951 0.372169 0.373569 0.474093
  0.493549 0.877249 -0.843740 0.083715
  0.603866 0.409399 -1.368065 0.621356
  0.132236 0.717628 0.734998 0.101717
  0.749969 0.473225 0.046614 0.442911
  0.448318 0.182474 -1.615955 0.962786
  0.760076 0.461306 -0.737190 -0.693765
  0.391219 0.174423 0.480784 -0.225460
  0.695774 0.268306 0.850115 0.028300
  0.533835 0.309525 -2.505765 0.322740
  0.738809 0.911583 -0.069850 -0.521672
  0.449631 0.688926 -1.002083 -0.859339
  0.189116 0.755933 0.140683 0.896857
  0.698889 0.323018 -0.545283 -1.040335
  0.829647 0.618396 1.139734 -0.849245
  0.247945 0.853306 -1.006743 -0.031111
  0.616849 0.320572 -0.524317 -0.041982
  0.341633 0.521326 -2.975697 0.337651
  0.243729 0.828996 0.450190 1.089367
  0.975756 0.893174 -0.965442 0.592587
  0.582973 0.915141 0.350691 0.365946
  0.690756 0.825244 0.653284 -0.144780
  0.128657 0.573793 -0.583658 0.945644
  0.328620 0.287011 -1.288023 -0.192625
  0.912153 0.323378 -0.824290 0.191974
  0.635237 0.535820 -1.756991 1.009719
  0.907803 0.553835 0.698888 -1.439522
  0.823737 0.096791 0.817566 0.127736
  0.374133 0.118007 1.007739 -0.792588
  0.705051 0.581492 -0.562258 -2.313099
  0.067776 0.277519 2.923853 -0.209159
  0.908303 0.046710 0.944909 -0.905854
  0.868427 0.404272 -0.933063 -0.673336
  0.872143 0.056960 2.794595 1.053595
  0.066223 0.799110 -1.553610 -2.242002
  0.436639 0.152509 -0.184750 0.880405
  0.474975 0.094188 0.168289 0.374002
  0.006994 0.152275 0.562650 1.924442
  0.268734 0.488078 -0.946188 -0.908936
  0.826551 0.366505 -0.228213 -0.503494
  0.929208 0.009719 -2.138250 -1.357732
  0.406761 0.258739 0.114509 1.093607
  0.154732 0.527136 0.282169 1.757675
  0.578114 0.180740 -1.414985 -0.735662
  0.183130 0.114858 0.663836 -0.492637
  0.369264 0.526711 -1.261262 -0.167530
  0.240468 0.375461 1.556093 0.450514
  0.163241 0.742237 0.199269 -0.011276
  0.197163 0.119538 1.092765 -1.524153
  0.776272 0.003142 -0.165920 -0.325023
  0.538874 0.605537 0.708475 1.153537
  0.097576 0.801706 0.090939 -1.988753
  0.985657 0.904559 -1.764764 0.180044
  0.060863 0.519049 0.749589 -0.039984
  0.946510 0.640172 -0.614885 -1.137264
  0.804896 0.019788 -0.472823 -0.074674
  0.850219 0.873016 -2.156598 1.257026
  0.526495 0.758990 -0.632361 -0.915421
  0.483549 0.076854 0.390827 1.803421
  0.024244 0.997120 -0.427497 -2.064979
  0.198760 0.478653 -0.768529 0.362278
  0.143791 0.481360 2.278650 1.901308
  0.644494 0.168761 0.024230 0.039076
  0.507530 0.205534 -0.557173 -0.423133
  0.465953 0.624836 0.660715 0.391861
  0.932720 0.382784 0.540607 -0.806371
  0.957990 0.412746 -1.408608 1.248084
  0.275115 0.446645 0.380289 -0.686405
  0.960587 0.916406 0.716664 -0.897433
  0.648686 0.185305 1.262397 -0.323513
  0.496141 0.693873 -1.516816 -0.005979
  0.622061 0.543597 -1.968126 0.673054
  0.624691 0.594476 0.403954 -0.816749
  0.603004 0.681567 1.886649 -0.516242
  0.623974 0.594240 -0.515407 0.271032
  0.832174 0.949967 -1.113436 -0.745186
  0.629500 0.981065 0.436393 -0.917088
  0.127111 0.620116 1.861626 1.005907
  0.501204 0.693812 0.704696 -0.939586
  0.506230 0.491516 -2.602299 1.151699
  0.305829 0.114491 0.783270 -0.740057
  0.455235 0.065998 1.451109 0.753816
  0.930968 0.669556 1.171244 -0.225827
  0.457135 0.807117 0.835873 0.115378
  0.040901 0.183073 1.015977 -1.557159
  0.991354 0.160006 -0.732551 -0.005053
  0.713194 0.822520 0.146764 -0.411924
  0.128537 0.954808 0.530044 -1.055047
  0.243914 0.862933 -0.667243 -0.563651
  0.003613 0.060749 0.703794 -2.246774
  0.692552 0.460523 -0.089665 0.632139
  0.293472 0.351012 -0.907936 1.268143
  0.998302 0.823267 0.709714 0.108848
  0.067260 0.556165 -0.527041 1.081102
  0.639288 0.385355 2.526398 -0.073260
  0.084729 0.467826 0.038828 -0.878010
  0.214537 0.960037 -0.698513 -1.474077
  0.060304 0.971442 0.077036 0.453511
  0.672511 0.682528 0.219543 0.026179
  0.973287 0.796618 0.912286 -0.541871
  0.300445 0.370792 -0.023142 0.138152
  0.867135 0.246967 -1.470864 1.122363
  0.026062 0.428037 0.303414 -0.773185
  0.076862 0.340295 0.534175 0.230595
  0.675469 0.874209 -1.216176 0.097263
  0.978555 0.549878 -0.110316 -0.001667
  0.756097 0.328476 0.043026 1.207682
  0.859731 0.995075 0.004836 -1.500561
  0.921827 0.883344 -0.217511 -0.625062
  0.445674 0.186254 -0.137457 -0.785899
  0.664871 0.695576 1.954988 1.859826
  0.584330 0.636854 0.755990 0.158286
  0.093286 0.459008 -0.869891 0.001404
  0.495149 0.109580 0.760536 0.033958
  0.259719 0.038411 -0.306445 -1.785843
  0.994462 0.657924 0.113680 0.410048
  0.365859 0.549789 -0.941869 -1.469494
  0.405514 0.150395 0.746765 -1.532075
  0.095089 0.829482 -1.485975 -0.282978
  0.586787 0.793923 -1.190710 0.164136
  0.459560 0.068829 -0.120873 0.007494
  0.424638 0.485720 1.552292 1.177175
  0.294792 0.218594 -1.517990 -1.672233
  0.850422 0.657313 -0.322847 -0.917644
  0.038187 0.288767 1.806397 -0.798832
  0.148454 0.657989 0.500253 0.293390
  0.830344 0.775673 -0.474062 -1.811025
  0.227605 0.092726 2.152278 0.561571
  0.680048 0.330001 -0.657128 -1.265831
  0.945320 0.269052 -1.333355 -0.731490
  0.622934 0.226878 1.951105 -0.841151
  0.034180 0.823256 -0.282588 -0.090788
  0.017054 0.977118 0.538329 -0.751353
  0.233649 0.788448 -0.103585 0.861012
  0.962892 0.011276 -0.371552 -0.178624
  0.083480 0.726760 1.622723 -0.404202
  0.825813 0.634366 1.179041 0.732621
  0.427055 0.168771 -1.698447 -1.224279
  0.591977 0.818366 -0.732767 -1.099268
  0.584859 0.157443 0.225184 -2.956306
  0.141462 0.731986 -0.780099 0.336397
  0.565600 0.839402 -0.661083 -0.438052
  0.089520 0.912182 2.116570 -1.360798
  0.776501 0.591675 -0.785838 -0.855706
  0.640001 0.619783 -1.174261 -1.038911
  0.968356 0.766011 0.841432 1.342898
  0.727907 0.837082 -1.137703 -1.420843
  0.156560 0.015825 0.272936 0.551507
  0.274766 0.893220 -0.224172 -0.597207
  0.456583 0.594524 0.595767 -0.823633
  0.464913 0.990477 -0.002181 0.806672
  0.408125 0.007600 1.998775 -1.413404
  0.041188 0.544471 -0.264356 1.436013
  0.413027 0.567418 -0.368491 -0.089607
  0.655299 0.272568 0.274300 -1.187670
  0.937124 0.754558 -1.135508 -1.115497
  0.987530 0.757410 0.782356 0.550452
  0.240384 0.417948 2.130241 -0.529270
  0.412247 0.148244 0.242259 -0.939425
  0.148317 0.272038 0.660063 -0.581987
  0.947157 0.487283 -0.714843 0.899197
  0.493008 0.083952 -1.255053 0.003820
  0.784814 0.375049 0.620562 0.401856
  0.175570 0.709860 2.424431 -2.327643
  0.912479 0.123854 0.508522 0.300331
  0.834338 0.252835 -0.884462 -3.038188
  0.070253 0.379435 1.400302 1.040981
  0.962154 0.092770 -0.934169 -0.102888
  0.646861 0.926653 0.389630 1.604741
  0.923368 0.442258 -0.175291 -0.906636
  0.761260 0.640061 -0.328816 0.323208
  0.311438 0.249433 -0.218476 0.623873
  0.194778 0.368971 0.392741 0.867464
  0.786483 0.117178 0.462044 1.300337
  0.544248 0.632568 -0.173539 0.048604
  0.171276 0.879622 0.009992 1.139734
  0.069453 0.206224 -1.576175 -0.340596
  0.279727 0.635898 0.893140 -0.460365
  0.215229 0.414757 0.341003 -1.643789
  0.630586 0.600733 1.841244 -0.048590
  0.836882 0.404838 0.529588 -0.919820
  0.266471 0.130953 0.694970 -1.408212
  0.901830 0.588330 -0.558646 -1.246740
  0.919841 0.019138 0.240698 0.481596
  0.644226 0.840363 -0.322217 -1.087087
  0.166329 0.571787 0.998811 0.581370
  0.054972 0.644160 0.655708 0.258511
  0.901119 0.591788 0.022636 -1.020177
  0.979051 0.381929 -0.851305 0.498448
  0.158653 0.593488 0.420326 -0.160741
  0.973902 0.981427 1.115927 1.858786
  0.199930 0.451527 0.212447 -0.404492
  0.214520 0.620275 0.055907 -0.728560
  0.914481 0.630703 -0.068180 -0.383498
  0.319380 0.663492 -1.862428 1.822222
  0.607488 0.349598 0.314335 1.057950
  0.598599 0.564164 1.260297 0.177843
  0.587292 0.416225 -1.138696 0.513704
  0.429005 0.679351 -0.636331 1.281065
  0.915937 0.866025 0.010303 0.280627
  0.890659 0.161685 -0.097890 -0.083217
  0.348393 0.222606 -1.021762 1.550051
  0.395515 0.222292 -0.358391 -0.494459
  0.541388 0.497565 -0.837371 -1.813626
  0.531730 0.752178 0.317335 -0.385106
  0.033433 0.908242 -0.820343 -0.986792
  0.821147 0.118371 0.143168 -1.254136
  0.291709 0.220459 1.810329 0.727922
  0.639549 0.484071 -0.244861 1.103578
  0.563932 0.908835 -0.892113 0.278876
  0.203803 0.581257 -0.635343 -1.251106
  0.973175 0.294903 0.089646 0.075968
  0.143324 0.059413 0.372149 0.643870
  0.283266 0.127985 -0.852786 1.583903
  0.987999 0.794843 -0.475870 -0.710969
  0.464588 0.404482 0.356697 2.264688
  0.128133 0.776668 1.277517 -1.872736
  0.619772 0.692998 0.700334 -0.317904
  0.551521 0.752928 0.174959 0.014461
  0.614381 0.106171 -1.520262 0.808521
  0.467832 0.985861 -0.406718 0.079681
  0.317557 0.575071 -0.311194 -1.391285
  0.208940 0.441606 0.531137 0.514040
  0.265050 0.863592 -0.434665 -1.518513
  0.996866 0.064130 0.858067 -1.239905
  0.572959 0.412134 -0.301580 -1.262601
  0.349031 0.662453 0.695838 -1.176779
  0.990895 0.844863 1.207437 -0.032027
  0.839726 0.637786 1.622869 -0.987147
  0.991072 0.805246 -1.993707 0.244702
  0.564202 0.897803 -1.854478 -1.522195
  0.429845 0.900274 0.710355 -0.780872
  0.476403 0.663963 1.291780 -0.159571
  0.888548 0.085476 -0.143526 0.984479
  0.545953 0.107965 -0.973686 -0.692633
  0.477048 0.274635 0.040851 1.536506
  0.725014 0.905293 -0.837583 -1.246920
  0.299608 0.133964 0.612602 0.860122
  0.225454 0.458226 -1.200715 -1.020555
  0.441675 0.196430 -0.960115 1.425518
  0.532563 0.432170 0.563479 -0.418021
  0.499129 0.475654 2.218897 -0.626097
  0.527404 0.221822 -0.357629 -1.021464
  0.501577 0.058501 -0.364178 0.417833
  0.045684 0.813402 -0.956434 1.112448
  0.438537 0.418827 2.082599 -1.146881
  0.232738 0.414986 -0.036824 -0.637193
  0.354232 0.068408 0.339949 0.369070
  0.254540 0.331667 -0.551933 1.151232
  0.496189 0.405146 -0.976045 1.024328
  0.207756 0.149075 0.444936 -0.967298
  0.872260 0.511215 -2.678793 -0.122239
  0.559722 0.540760 0.563075 0.311082
  0.828978 0.767787 0.634327 -0.630792
  0.017564 0.373306 -0.674698 -0.121491
  0.904696 0.967888 -0.917330 -1.357667
  0.919465 0.901508 0.125269 -0.023491
  0.645763 0.525507 0.197770 -0.506441
  0.599743 0.638259 -0.370074 -3.483022
  0.478571 0.503247 -0.629537 -0.458478
  0.083962 0.793828 -1.929118 -0.094091
  0.725548 0.026053 0.404820 0.293868
  0.357538 0.568383 0.037973 0.484353
  0.512616 0.031815 0.432049 -1.952681
  0.069008 0.345759 -1.201835 -0.244639
  0.197039 0.146065 0.721827 -0.594754
  0.363592 0.754248 1.774924 0.132979
  0.771412 0.491181 1.167916 -1.603545
  0.398529 0.813439 1.604492 -0.839538
  0.433396 0.334427 -0.335005 0.260966
  0.974025 0.880423 0.052066 0.905562
  0.455255 0.116996 0.343234 0.962492
  0.411420 0.393204 0.231499 0.801139
  0.358147 0.215710 0.722110 -0.485636
  0.399909 0.371230 0.224075 2.151218
  0.167275 0.717466 -1.777543 0.193605
  0.275586 0.174624 0.268005 0.742237
  0.051856 0.842159 -0.253205 -0.241952
  0.974232 0.484761 -1.144214 1.408578
  0.243055 0.511804 0.106891 1.368238
  0.177594 0.868150 0.306207 -0.794964
  0.597620 0.493841 0.186957 -0.946018
  0.674463 0.920486 -0.660355 -0.971193
  0.735561 0.005756 -0.150637 0.285117
  0.797108 0.162318 -0.713414 -0.149863
  0.909471 0.975602 -0.312762 -1.811265
  0.597964 0.550310 -0.253446 0.659930
  0.194228 0.249744 1.182930 1.170262
  0.744853 0.926145 0.590509 -0.222998
  0.148166 0.802255 -1.852160 0.763820
  0.371797 0.219498 -0.030664 1.193701
  0.509069 0.661369 0.770187 -0.531127
  0.222161 0.737629 1.255271 -1.482743
  0.356963 0.488812 1.661530 -2.230830
  0.608781 0.268863 -1.329304 0.518284
  0.892137 0.360469 1.078070 -1.113973
  0.163704 0.031779 0.061824 0.446828
  0.678571 0.034610 0.538041 1.029389
  0.150699 0.655374 -0.865716 -0.234861
  0.180573 0.622215 1.383859 0.895616
  0.452336 0.603080 1.355006 -0.227395
  0.254352 0.391886 0.948086 -1.116105
  0.609381 0.205602 0.100641 -0.971877
  0.911787 0.132581 0.961997 -0.976554
  0.433985 0.248141 -2.243223 0.006089
  0.822414 0.892486 -0.660843 -0.289683
  0.601961 0.650372 0.035118 0.234168
  0.240909 0.186807 0.111967 0.496973
  0.579819 0.593040 -1.200831 -0.392529
  0.613114 0.980778 0.705600 0.447914
  0.185335 0.551191 1.071963 -0.264751
  0.262782 0.443744 -0.039516 0.084590
  0.729531 0.810518 0.875699 -0.664226
  0.622547 0.039397 -0.648980 -0.116773
  0.491892 0.435877 -0.657412 0.029802
  0.399946 0.871549 0.490610 1.418168
  0.085375 0.982062 0.246927 1.462479
  0.446518 0.630706 -0.635266 1.834302
  0.678378 0.777475 0.111916 0.754457
  0.279365 0.191834 -1.712493 -0.480032
  0.938197 0.514051 0.207322 -1.121546
  0.667425 0.699036 -0.620086 0.119266
  0.009075 0.227721 0.369487 0.180640
  0.776890 0.423549 0.347910 -0.025244
  0.652046 0.990883 0.307696 -0.140356
  0.897883 0.720614 -0.845706 0.587216
  0.520489 0.718224 0.659102 -0.570663
  0.901543 0.433182 -0.119840 0.738860
  0.918645 0.495890 1.515330 -1.346028
  0.134966 0.974716 0.995775 2.238525
  0.891486 0.499059 1.093349 0.157893
  0.637026 0.111389 0.759277 -0.758814
  0.634166 0.534466 0.014501 -1.128867
  0.262431 0.146785 0.164009 -1.098976
  0.274581 0.091529 1.201565 -0.682832
  0.169172 0.737846 -0.257971 0.266765
  0.145408 0.166739 1.258879 0.302190
  0.887577 0.595684 0.507063 -0.764396
  0.634461 0.754261 0.784747 -1.213704
  0.760127 0.878117 -1.085859 0.191695
  0.403827 0.520517 0.142499 0.045863
  0.620947 0.430333 1.025627 0.545251
  0.547621 0.392005 -0.949270 -1.612291
  0.047344 0.115042 1.165594 -0.517196
  0.713317 0.278976 0.949294 -0.177415
  0.550258 0.102824 1.154114 -1.116665
  0.459836 0.412216 1.526379 0.552049
  0.164676 0.073154 0.475447 -0.028464
  0.491418 0.791517 0.119560 0.109246
  0.971080 0.119423 -0.642905 -1.242128
  0.583432 0.184443 -0.906274 0.885178
  0.567484 0.750888 -1.319202 -0.045424
  0.542040 0.670163 0.991792 -0.730794
  0.492973 0.650829 1.737334 1.854373
  0.769485 0.698295 -0.089873 -0.713309
  0.402447 0.105503 -0.423335 1.797638
  0.890741 0.131660 -0.655285 -0.996142
  0.600033 0.356833 -1.133867 -0.030152
  0.643453 0.189297 -0.860820 0.731216
  0.344165 0.189785 0.795529 -1.074175
  0.276173 0.707182 -0.640417 -0.243971
  0.726408 0.991169 -0.188154 0.687756
  0.832481 0.917629 0.301867 -0.073415
  0.604804 0.417580 0.187395 -0.781253
  0.097017 0.204497 3.550306 -0.749840
  0.624635 0.325206 -1.362248 0.076872
  0.303902 0.300002 -0.831643 0.460858
  0.242099 0.662057 -0.388307 -0.366712
  0.259629 0.616789 -0.206629 0.047316
